code;en;en_desc;de;de_desc
Retarder Addition at Customer’s Request;Retarder Addition at Customer Request;Was retarder added at the customer's request?;Verzögererzugabe auf Verlangen des Kunden;Verlangt der Kunde eine Verzögerzugabe?
Start of Production;Production Start;Time of the beginning of the mixture's production.;Produktionsbeginn;Der Zeitpunkt des Produktionsbeginns des Mischgutes.
Steel Fiber Addition;Steel Fiber Addition;Type of fiber addition to concrete: slow, medium, fast.;Stahlfaserbeigabe;Art der Faserbeigabe zu Beton: langsam, mittel, schnell
Storage unit;Compartment;Information on the  compartment or silo to assist in picking.;Lagerfach;Hinweis auf das Lagerfach oder Silo eines Artikels zur Unterstützung der Kommissionierung.
Strength Class;Strength Class;Strength/performance class of the delivered concrete.;Festigkeitsklasse;Festigkeitsklasse/Leistungsklasse des gelieferten Betons
Superplasticizer Addition at Customer’s Request;Superplasticizer Addition at Customer Request;Was superplasticizer added at the customer's request?;Fließmittelzugabe auf Verlangen des Kunden;Verlangt der Kunde eine Fließmittelzugabe?
Testing age;Age at Testing;Age of the specimen at the time of testing.;Pruefalter;Alter des Probekörpers im Augenblick der Prüfung.
Time of Addition;Time of Addition;Point in time when the additive was added.;Zugabezeitpunkt;Zugabezeitpunkt der Zusatzmittel
Water added at customer's request;Water Addition at Customer Request;Listed as a separate item with an ID referencing the main article.;Wasserzugabe auf Verlangen des Kunden;Dies wird als Stückliste aufgeführt, indem es als separates Item aufgeführt wird,  bei welchem die ID eine Zuordnung zum übergeordneten Artikel herstellt.
Workability;Energy Absorption Capacity;Potential energy absorption of a concrete element until failure.;Arbeitsvermögen;Mögliche Energieaufnahme eines Betonbauteils bis zum Versagen.
application / usage;Application / Usage;The planned application or use of the delivered concrete.;Verwendung;Geplante Verwendung des gelieferten Betons.
compressive strength;Compressive Strength;The load-bearing capacity of the material in built-in condition.;Druckfestigkeit;Die vom Material im eingebauten Zustand ertragbare Druckbeanspruchung.
consistency class;Consistency Class;The consistency of fresh concrete is described using consistency classes.;Konsistenzklasse;Die Beschreibung der Konsistenz von Frischbeton erfolgt über die Konsistenzklassen.
exposure class;Exposure Class;Exposure classes define durability requirements for reinforcement and concrete corrosion depending on chemical and physical exposure conditions.;Expositionsklasse;In den Expositionsklassen sind die Anforderungen an die Haltbarkeit für die Bewehrung und die Betonkorrosion in Abhängigkeit von den chemischen und physikalischen Einwirkungen festgelegt
gross density class;Density Class;Density class of the material.;Rohdichteklasse;Die Rohdichteklasse des Materials .
moisture class;Moisture Class;The moisture class categorizes environmental conditions related to potential harmful alkali-silica reactions, as defined by the project planner.;Feuchtigkeitsklasse;Die Feuchtigkeitsklasse ist eine Einstufung der Umgebungsbedingungen, die vom Planer hinsichtlich einer möglichen schädigenden Alkali-Kieselsäure-Reaktion festzulegen ist.
net price per unit;Unit Price;Display of the unit price. This is often used in communication with customers.;Preis je Einheit;Ausweis des Preises je Einheit. Dies erfolgt im Schriftverkehr mit externen Kunden und teilweise auch Privatkunden.
strength development;Strength Development;Concrete is classified according to the development of its compressive strength as very slow, slow, medium, or fast.;Festigkeitsentwicklung;Betone werden entsprechend des Festigkeitsentwicklung in sehr langsam, langsam, mittel oder schnell eingestuft.
